time;lat;lon;pr;tmax;tmin;ih
05-2000;-37,275;-72,175;64,160;15,825;4,550;3
05-2000;-37,275;-72,125;62,600;15,752;4,592;3
05-2000;-37,275;-72,075;62,970;15,897;4,762;3
05-2000;-37,275;-72,025;62,780;15,858;4,966;3
05-2000;-37,275;-71,975;62,520;16,017;4,914;3
05-2000;-37,275;-71,925;63,710;15,506;4,667;3
05-2000;-37,275;-71,875;69,220;15,119;4,062;3
05-2000;-37,275;-71,825;70,120;14,609;4,139;3
05-2000;-37,275;-71,775;73,050;14,257;4,193;3
05-2000;-37,275;-71,725;75,030;13,772;3,901;3
05-2000;-37,275;-71,675;82,790;12,858;3,212;2
05-2000;-37,275;-71,625;102,200;11,700;1,928;2
05-2000;-37,275;-71,575;95,080;11,844;2,053;2
05-2000;-37,275;-71,525;93,590;11,421;1,317;2
05-2000;-37,275;-71,475;73,780;12,430;1,925;2
05-2000;-37,275;-71,425;83,500;10,887;,402;1
05-2000;-37,275;-71,375;82,350;9,967;-,653;1
05-2000;-37,275;-71,325;62,450;11,223;,873;2
05-2000;-37,275;-71,275;71,770;10,768;-,303;1
05-2000;-37,275;-71,225;74,980;9,645;-1,676;1
05-2000;-37,275;-71,175;74,280;9,345;-1,799;1
05-2000;-37,275;-71,125;78,840;8,623;-2,236;1
05-2000;-37,275;-71,075;76,200;8,590;-2,160;1
05-2000;-37,275;-71,025;83,340;7,753;-3,178;1
05-2000;-37,275;-70,975;70,450;8,295;-3,302;1
05-2000;-37,225;-72,925;81,650;15,262;5,785;3
05-2000;-37,225;-72,875;74,150;15,310;5,476;3
05-2000;-37,225;-72,825;64,890;15,672;5,532;3
05-2000;-37,225;-72,775;60,240;15,719;5,311;3
05-2000;-37,225;-72,725;60,500;15,727;5,043;3
05-2000;-37,225;-72,675;57,710;15,878;4,815;3
05-2000;-37,225;-72,625;53,060;15,997;4,817;3
05-2000;-37,225;-72,575;55,090;16,063;4,759;3
05-2000;-37,225;-72,525;56,860;16,060;4,643;3
05-2000;-37,225;-72,475;58,480;16,123;4,599;3
05-2000;-37,225;-72,425;60,520;16,129;4,541;3
05-2000;-37,225;-72,375;62,520;16,059;4,531;3
05-2000;-37,225;-72,325;65,460;16,032;4,573;3
05-2000;-37,225;-72,275;66,060;15,964;4,520;3
05-2000;-37,225;-72,225;64,970;15,871;4,516;3
05-2000;-37,225;-72,175;67,070;15,969;4,505;3
05-2000;-37,225;-72,125;63,440;15,897;4,475;3
05-2000;-37,225;-72,075;61,230;15,960;4,694;3
05-2000;-37,225;-72,025;60,590;15,870;4,837;3
