time;lat;lon;pr;tmax;tmin;ih
05-2000;-36,825;-71,125;66,390;10,329;-1,347;1
05-2000;-36,825;-71,075;56,870;10,615;-1,236;1
05-2000;-36,825;-71,025;58,130;10,490;-1,301;1
05-2000;-36,825;-70,975;65,710;8,642;-2,082;1
05-2000;-36,775;-72,925;53,240;15,069;5,048;3
05-2000;-36,775;-72,875;54,220;15,304;4,705;3
05-2000;-36,775;-72,825;53,890;15,582;4,388;3
05-2000;-36,775;-72,775;54,420;15,563;4,195;3
05-2000;-36,775;-72,725;56,390;15,567;3,987;3
05-2000;-36,775;-72,675;59,130;15,611;4,163;3
05-2000;-36,775;-72,625;58,600;15,838;4,327;3
05-2000;-36,775;-72,575;57,400;16,048;4,341;3
05-2000;-36,775;-72,525;55,140;16,163;4,339;3
05-2000;-36,775;-72,475;53,590;16,391;4,124;3
05-2000;-36,775;-72,425;52,770;16,689;3,913;3
05-2000;-36,775;-72,375;53,190;16,709;3,845;3
05-2000;-36,775;-72,325;54,330;16,751;3,883;3
05-2000;-36,775;-72,275;55,860;16,843;3,886;3
05-2000;-36,775;-72,225;56,720;16,655;3,962;3
05-2000;-36,775;-72,175;57,070;16,635;3,977;3
05-2000;-36,775;-72,125;57,440;16,360;3,993;3
05-2000;-36,775;-72,075;58,380;16,359;4,000;3
05-2000;-36,775;-72,025;59,910;16,291;4,045;3
05-2000;-36,775;-71,975;63,800;16,389;3,833;3
05-2000;-36,775;-71,925;69,140;16,234;3,544;3
05-2000;-36,775;-71,875;74,330;15,756;3,562;3
05-2000;-36,775;-71,825;79,670;15,314;3,888;3
05-2000;-36,775;-71,775;87,900;15,015;3,747;3
05-2000;-36,775;-71,725;98,460;14,442;3,493;3
05-2000;-36,775;-71,675;110,210;13,626;3,113;2
05-2000;-36,775;-71,625;124,030;12,556;2,402;2
05-2000;-36,775;-71,575;137,710;11,324;1,493;2
05-2000;-36,775;-71,525;134,840;11,501;1,172;2
05-2000;-36,775;-71,475;135,030;11,005;,276;1
05-2000;-36,775;-71,425;125,280;10,899;-,562;1
05-2000;-36,775;-71,375;115,370;11,629;-,347;1
05-2000;-36,775;-71,325;99,650;12,579;-,237;2
05-2000;-36,775;-71,275;75,350;14,083;,161;2
05-2000;-36,775;-71,225;77,110;13,153;-,423;2
05-2000;-36,775;-71,175;82,010;10,955;-1,641;1
05-2000;-36,775;-71,125;83,710;9,253;-2,170;1
05-2000;-36,775;-71,075;70,180;9,508;-2,132;1
05-2000;-36,775;-71,025;68,120;9,365;-2,128;1
05-2000;-36,775;-70,975;70,140;8,166;-2,452;1
05-2000;-36,725;-72,925;55,670;14,702;4,846;3
05-2000;-36,725;-72,875;56,420;14,945;4,757;3
05-2000;-36,725;-72,825;56,720;15,062;4,493;3
05-2000;-36,725;-72,775;56,400;15,284;4,208;3
05-2000;-36,725;-72,725;55,960;15,385;4,104;3
05-2000;-36,725;-72,675;57,670;15,278;4,221;3
05-2000;-36,725;-72,625;55,610;15,645;4,329;3
05-2000;-36,725;-72,575;56,370;15,324;4,556;3
05-2000;-36,725;-72,525;63,850;15,316;4,103;3
05-2000;-36,725;-72,475;53,880;16,190;4,347;3
05-2000;-36,725;-72,425;51,050;16,587;4,115;3
05-2000;-36,725;-72,375;51,530;16,725;3,902;3
05-2000;-36,725;-72,325;52,590;16,759;3,925;3
05-2000;-36,725;-72,275;53,880;16,686;3,963;3
05-2000;-36,725;-72,225;54,560;16,761;3,978;3
05-2000;-36,725;-72,175;55,150;16,387;4,140;3
05-2000;-36,725;-72,125;56,250;16,185;4,173;3
05-2000;-36,725;-72,075;57,500;16,099;4,139;3
05-2000;-36,725;-72,025;59,400;16,199;4,070;3
05-2000;-36,725;-71,975;62,200;16,104;4,028;3
05-2000;-36,725;-71,925;67,180;16,230;3,709;3
05-2000;-36,725;-71,875;72,630;15,991;3,489;3
05-2000;-36,725;-71,825;77,050;15,650;3,675;3
05-2000;-36,725;-71,775;83,120;15,098;3,910;3
05-2000;-36,725;-71,725;95,000;14,415;3,657;3
05-2000;-36,725;-71,675;104,790;13,983;3,305;2
05-2000;-36,725;-71,625;112,420;13,465;2,917;2
05-2000;-36,725;-71,575;117,030;12,798;2,304;2
05-2000;-36,725;-71,525;124,600;12,161;1,358;2
05-2000;-36,725;-71,475;133,130;11,496;,736;2
05-2000;-36,725;-71,425;120,910;11,783;,503;2
05-2000;-36,725;-71,375;101,670;13,673;,639;2
05-2000;-36,725;-71,325;102,980;12,604;-,001;2
05-2000;-36,725;-71,275;74,110;13,984;-,019;2
05-2000;-36,725;-71,225;93,490;11,410;-1,621;1
05-2000;-36,725;-71,175;87,430;11,047;-1,681;1
05-2000;-36,725;-71,125;94,010;8,968;-2,532;1
05-2000;-36,725;-71,075;83,600;8,705;-2,567;1
05-2000;-36,725;-71,025;72,010;9,115;-2,310;1
05-2000;-36,725;-70,975;71,420;8,632;-2,364;1
05-2000;-36,675;-72,925;54,010;14,955;5,220;3
05-2000;-36,675;-72,875;56,690;14,869;4,894;3
05-2000;-36,675;-72,825;56,460;15,174;4,508;3
05-2000;-36,675;-72,775;55,260;15,331;4,269;3
05-2000;-36,675;-72,725;57,720;15,191;4,234;3
05-2000;-36,675;-72,675;57,990;15,242;4,341;3
05-2000;-36,675;-72,625;56,490;15,388;4,385;3
05-2000;-36,675;-72,575;55,300;15,765;4,533;3
05-2000;-36,675;-72,525;61,240;15,667;4,493;3
05-2000;-36,675;-72,475;53,830;16,416;4,329;3
05-2000;-36,675;-72,425;50,230;16,525;4,318;3
05-2000;-36,675;-72,375;51,670;16,497;4,229;3
05-2000;-36,675;-72,325;52,610;16,727;4,044;3
05-2000;-36,675;-72,275;53,730;16,776;3,938;3
05-2000;-36,675;-72,225;54,930;16,574;4,012;3
05-2000;-36,675;-72,175;55,310;16,464;4,065;3
05-2000;-36,675;-72,125;55,260;16,392;4,153;3
05-2000;-36,675;-72,075;56,570;16,374;4,119;3
05-2000;-36,675;-72,025;57,570;16,567;4,014;3
05-2000;-36,675;-71,975;61,310;16,552;3,810;3
05-2000;-36,675;-71,925;66,530;16,347;3,514;3
05-2000;-36,675;-71,875;71,420;16,180;3,406;3
05-2000;-36,675;-71,825;74,510;15,880;3,574;3
05-2000;-36,675;-71,775;80,480;15,097;3,874;3
05-2000;-36,675;-71,725;91,830;14,461;3,763;3
05-2000;-36,675;-71,675;101,880;14,035;3,358;2
05-2000;-36,675;-71,625;108,940;13,781;3,032;2
05-2000;-36,675;-71,575;116,470;13,094;2,491;2
05-2000;-36,675;-71,525;120,330;12,560;1,758;2
05-2000;-36,675;-71,475;129,380;11,878;1,169;2
05-2000;-36,675;-71,425;110,250;12,684;1,139;2
05-2000;-36,675;-71,375;96,720;13,922;1,216;2
05-2000;-36,675;-71,325;86,220;14,199;1,023;2
05-2000;-36,675;-71,275;85,390;13,010;-,551;2
05-2000;-36,675;-71,225;113,490;8,903;-2,051;1
05-2000;-36,675;-71,175;99,420;9,785;-2,330;1
05-2000;-36,675;-71,125;100,740;8,595;-2,576;1
05-2000;-36,675;-71,075;84,500;9,239;-2,347;1
05-2000;-36,675;-71,025;79,840;9,005;-2,233;1
05-2000;-36,675;-70,975;78,880;8,343;-2,439;1
05-2000;-36,625;-72,925;51,790;14,944;5,771;3
05-2000;-36,625;-72,875;56,510;14,877;5,224;3
05-2000;-36,625;-72,825;54,620;15,141;4,902;3
05-2000;-36,625;-72,775;54,010;15,281;4,481;3
05-2000;-36,625;-72,725;57,380;15,293;4,251;3
05-2000;-36,625;-72,675;57,680;15,229;4,454;3
05-2000;-36,625;-72,625;54,390;15,801;4,289;3
05-2000;-36,625;-72,575;50,470;16,226;4,398;3
05-2000;-36,625;-72,525;48,920;16,527;4,486;3
05-2000;-36,625;-72,475;49,270;16,351;4,614;3
05-2000;-36,625;-72,425;49,200;16,378;4,333;3
05-2000;-36,625;-72,375;50,270;16,402;4,275;3
05-2000;-36,625;-72,325;52,640;16,512;4,214;3
05-2000;-36,625;-72,275;53,790;16,803;3,953;3
05-2000;-36,625;-72,225;54,500;16,902;3,888;3
05-2000;-36,625;-72,175;54,710;16,679;3,953;3
05-2000;-36,625;-72,125;54,830;16,738;3,880;3
05-2000;-36,625;-72,075;55,980;16,734;3,947;3
05-2000;-36,625;-72,025;57,940;16,755;3,946;3
05-2000;-36,625;-71,975;61,410;16,688;3,802;3
05-2000;-36,625;-71,925;65,410;16,526;3,660;3
05-2000;-36,625;-71,875;69,400;15,905;3,499;3
05-2000;-36,625;-71,825;71,970;16,047;3,479;3
05-2000;-36,625;-71,775;75,140;15,636;3,895;3
05-2000;-36,625;-71,725;85,400;14,714;3,782;3
05-2000;-36,625;-71,675;93,630;14,403;3,419;3
05-2000;-36,625;-71,625;103,450;14,321;3,103;2
05-2000;-36,625;-71,575;99,000;14,521;2,855;2
05-2000;-36,625;-71,525;106,130;14,096;2,554;2
05-2000;-36,625;-71,475;96,600;14,185;2,385;2
05-2000;-36,625;-71,425;100,610;13,537;1,577;2
05-2000;-36,625;-71,375;116,710;12,172;,683;2
05-2000;-36,625;-71,325;116,740;11,514;,222;2
05-2000;-36,625;-71,275;96,730;12,988;-,385;2
05-2000;-36,625;-71,225;120,780;9,441;-2,133;1
05-2000;-36,625;-71,175;106,960;9,990;-2,162;1
05-2000;-36,625;-71,125;96,320;10,037;-1,954;1
05-2000;-36,625;-71,075;80,690;11,075;-1,692;1
05-2000;-36,625;-71,025;86,600;9,821;-1,864;1
05-2000;-36,625;-70,975;74,090;10,146;-1,861;1
05-2000;-36,575;-72,925;53,180;14,848;6,273;3
05-2000;-36,575;-72,875;54,840;14,817;5,742;3
05-2000;-36,575;-72,825;53,930;15,097;5,234;3
05-2000;-36,575;-72,775;53,150;15,217;4,838;3
05-2000;-36,575;-72,725;53,110;15,601;4,516;3
05-2000;-36,575;-72,675;54,520;15,641;4,489;3
05-2000;-36,575;-72,625;49,980;15,938;4,485;3
05-2000;-36,575;-72,575;45,860;16,198;4,546;3
05-2000;-36,575;-72,525;46,800;16,157;4,518;3
05-2000;-36,575;-72,475;50,140;15,853;4,708;3
05-2000;-36,575;-72,425;59,430;15,425;4,515;3
05-2000;-36,575;-72,375;54,680;16,142;4,359;3
05-2000;-36,575;-72,325;53,280;16,479;4,144;3
05-2000;-36,575;-72,275;53,510;16,716;4,101;3
05-2000;-36,575;-72,225;55,030;16,613;4,075;3
05-2000;-36,575;-72,175;55,140;16,733;3,957;3
05-2000;-36,575;-72,125;55,280;16,611;3,994;3
05-2000;-36,575;-72,075;56,130;16,697;3,953;3
05-2000;-36,575;-72,025;57,350;16,733;4,025;3
05-2000;-36,575;-71,975;59,580;16,753;3,910;3
05-2000;-36,575;-71,925;62,960;16,585;3,790;3
05-2000;-36,575;-71,875;66,530;16,319;3,613;3
05-2000;-36,575;-71,825;69,800;16,043;3,893;3
05-2000;-36,575;-71,775;72,190;16,110;3,886;3
05-2000;-36,575;-71,725;86,590;14,955;3,832;3
05-2000;-36,575;-71,675;94,890;14,733;3,602;3
05-2000;-36,575;-71,625;104,930;14,487;3,025;2
05-2000;-36,575;-71,575;93,770;14,771;3,167;3
05-2000;-36,575;-71,525;97,400;14,556;2,813;2
05-2000;-36,575;-71,475;111,840;12,761;2,039;2
05-2000;-36,575;-71,425;128,160;11,165;,894;2
05-2000;-36,575;-71,375;130,100;11,199;,211;1
05-2000;-36,575;-71,325;119,010;11,120;,061;1
05-2000;-36,575;-71,275;101,900;12,120;,069;2
05-2000;-36,575;-71,225;90,430;13,276;-,227;2
05-2000;-36,575;-71,175;98,330;12,137;-,891;1
05-2000;-36,575;-71,125;92,480;11,504;-1,269;1
05-2000;-36,575;-71,075;89,570;10,603;-1,686;1
05-2000;-36,575;-71,025;94,620;9,565;-1,962;1
05-2000;-36,575;-70,975;85,740;8,794;-2,113;1
05-2000;-36,525;-72,925;45,690;15,310;6,892;3
05-2000;-36,525;-72,875;53,760;14,646;6,174;3
05-2000;-36,525;-72,825;55,550;14,716;5,422;3
05-2000;-36,525;-72,775;48,580;15,514;4,811;3
05-2000;-36,525;-72,725;46,830;15,896;4,622;3
05-2000;-36,525;-72,675;47,460;15,709;4,705;3
05-2000;-36,525;-72,625;45,260;16,035;4,661;3
05-2000;-36,525;-72,575;46,040;16,199;4,579;3
05-2000;-36,525;-72,525;47,300;16,367;4,603;3
05-2000;-36,525;-72,475;50,150;16,345;4,573;3
05-2000;-36,525;-72,425;57,090;16,113;4,589;3
05-2000;-36,525;-72,375;53,580;16,466;4,363;3
05-2000;-36,525;-72,325;53,150;16,534;4,238;3
05-2000;-36,525;-72,275;54,150;16,524;4,103;3
05-2000;-36,525;-72,225;55,610;16,590;4,050;3
05-2000;-36,525;-72,175;55,430;16,569;3,991;3
05-2000;-36,525;-72,125;55,540;16,761;4,043;3
05-2000;-36,525;-72,075;56,120;16,683;4,133;3
05-2000;-36,525;-72,025;57,120;16,718;4,048;3
05-2000;-36,525;-71,975;59,310;16,649;4,042;3
05-2000;-36,525;-71,925;62,610;16,460;3,924;3
05-2000;-36,525;-71,875;66,140;16,361;3,810;3
05-2000;-36,525;-71,825;70,320;16,230;3,805;3
05-2000;-36,525;-71,775;73,710;15,837;4,225;3
05-2000;-36,525;-71,725;86,390;15,039;3,940;3
05-2000;-36,525;-71,675;90,490;14,981;3,679;3
05-2000;-36,525;-71,625;95,570;15,046;3,251;3
05-2000;-36,525;-71,575;87,890;15,344;3,087;3
05-2000;-36,525;-71,525;108,540;13,072;2,279;2
05-2000;-36,525;-71,475;142,230;11,432;1,579;2
05-2000;-36,525;-71,425;115,590;12,702;1,643;2
05-2000;-36,525;-71,375;117,000;12,719;1,127;2
05-2000;-36,525;-71,325;109,820;12,539;,309;2
05-2000;-36,525;-71,275;113,740;11,370;-,303;1
05-2000;-36,525;-71,225;103,480;11,449;-,432;1
05-2000;-36,525;-71,175;92,280;11,974;-,375;1
05-2000;-36,525;-71,125;90,960;11,995;-,932;1
05-2000;-36,525;-71,075;99,640;9,487;-1,792;1
05-2000;-36,525;-71,025;102,320;8,668;-2,157;1
05-2000;-36,525;-70,975;100,050;8,103;-2,297;1
05-2000;-36,475;-72,925;43,910;15,384;7,409;3
05-2000;-36,475;-72,875;53,960;14,861;6,539;3
05-2000;-36,475;-72,825;57,180;14,524;5,813;3
05-2000;-36,475;-72,775;51,640;14,957;5,110;3
05-2000;-36,475;-72,725;44,830;15,739;4,827;3
05-2000;-36,475;-72,675;43,900;16,035;4,804;3
05-2000;-36,475;-72,625;45,920;16,050;4,705;3
05-2000;-36,475;-72,575;47,340;16,297;4,688;3
05-2000;-36,475;-72,525;50,340;16,220;4,623;3
05-2000;-36,475;-72,475;48,990;16,704;4,559;3
05-2000;-36,475;-72,425;50,320;16,710;4,461;3
05-2000;-36,475;-72,375;50,850;16,790;4,400;3
05-2000;-36,475;-72,325;52,930;16,672;4,115;3
05-2000;-36,475;-72,275;54,530;16,682;4,040;3
05-2000;-36,475;-72,225;56,440;16,646;3,833;3
05-2000;-36,475;-72,175;55,660;16,745;3,872;3
05-2000;-36,475;-72,125;55,560;16,795;3,945;3
05-2000;-36,475;-72,075;56,180;16,821;3,992;3
05-2000;-36,475;-72,025;57,080;16,779;4,033;3
05-2000;-36,475;-71,975;59,130;16,717;3,975;3
05-2000;-36,475;-71,925;62,400;16,571;3,852;3
05-2000;-36,475;-71,875;65,740;16,382;3,807;3
05-2000;-36,475;-71,825;70,070;16,364;3,846;3
05-2000;-36,475;-71,775;74,230;16,115;3,999;3
05-2000;-36,475;-71,725;79,060;15,603;3,989;3
05-2000;-36,475;-71,675;88,170;14,935;3,766;3
05-2000;-36,475;-71,625;94,120;14,651;3,478;3
05-2000;-36,475;-71,575;98,990;14,016;3,273;2
05-2000;-36,475;-71,525;123,120;12,422;2,353;2
05-2000;-36,475;-71,475;129,880;12,021;2,128;2
05-2000;-36,475;-71,425;101,190;13,478;1,851;2
05-2000;-36,475;-71,375;127,190;11,362;1,039;2
05-2000;-36,475;-71,325;120,720;11,337;,345;2
05-2000;-36,475;-71,275;114,660;10,958;-,319;1
05-2000;-36,475;-71,225;111,850;10,998;-,435;1
05-2000;-36,475;-71,175;88,870;12,453;-,520;2
05-2000;-36,475;-71,125;95,180;11,831;-,719;1
05-2000;-36,475;-71,075;105,060;9,804;-1,668;1
05-2000;-36,475;-71,025;108,960;8,974;-2,072;1
05-2000;-36,475;-70,975;96,220;8,759;-2,150;1
05-2000;-36,425;-72,925;44,830;15,681;7,525;3
05-2000;-36,425;-72,875;48,790;15,293;6,940;3
05-2000;-36,425;-72,825;56,860;14,666;6,225;3
05-2000;-36,425;-72,775;54,480;14,515;5,607;3
05-2000;-36,425;-72,725;44,330;15,500;5,165;3
05-2000;-36,425;-72,675;44,720;15,936;5,012;3
05-2000;-36,425;-72,625;45,030;16,418;4,847;3
05-2000;-36,425;-72,575;45,710;16,564;4,717;3
05-2000;-36,425;-72,525;47,160;16,760;4,630;3
05-2000;-36,425;-72,475;48,360;16,492;4,511;3
05-2000;-36,425;-72,425;47,660;16,741;4,378;3
05-2000;-36,425;-72,375;50,060;16,689;4,253;3
05-2000;-36,425;-72,325;52,610;16,673;4,148;3
05-2000;-36,425;-72,275;57,070;16,253;4,128;3
05-2000;-36,425;-72,225;58,780;16,448;4,052;3
05-2000;-36,425;-72,175;56,130;16,670;3,947;3
05-2000;-36,425;-72,125;55,520;16,731;3,903;3
05-2000;-36,425;-72,075;55,820;16,826;3,980;3
05-2000;-36,425;-72,025;56,490;16,918;4,036;3
05-2000;-36,425;-71,975;58,120;16,871;4,016;3
05-2000;-36,425;-71,925;60,910;16,654;3,926;3
05-2000;-36,425;-71,875;63,740;16,566;3,812;3
05-2000;-36,425;-71,825;67,620;16,522;3,813;3
05-2000;-36,425;-71,775;70,990;16,337;3,901;3
05-2000;-36,425;-71,725;77,050;15,633;3,991;3
05-2000;-36,425;-71,675;85,690;15,251;3,538;3
05-2000;-36,425;-71,625;87,280;15,107;3,623;3
05-2000;-36,425;-71,575;88,780;15,146;3,414;3
05-2000;-36,425;-71,525;90,980;14,825;3,368;3
05-2000;-36,425;-71,475;98,240;14,136;3,048;2
05-2000;-36,425;-71,425;99,190;13,831;2,279;2
05-2000;-36,425;-71,375;129,190;11,285;,901;2
05-2000;-36,425;-71,325;123,420;11,072;,577;2
05-2000;-36,425;-71,275;112,330;11,458;,195;2
05-2000;-36,425;-71,225;106,750;11,146;-,137;1
05-2000;-36,425;-71,175;99,840;11,434;-,414;1
05-2000;-36,425;-71,125;96,280;11,035;-1,226;1
05-2000;-36,425;-71,075;107,290;9,596;-1,661;1
05-2000;-36,425;-71,025;105,000;9,333;-2,044;1
05-2000;-36,425;-70,975;91,230;9,875;-1,409;1
05-2000;-36,375;-72,925;46,170;15,525;8,116;4
05-2000;-36,375;-72,875;45,500;15,436;7,393;3
05-2000;-36,375;-72,825;51,300;14,796;6,731;3
05-2000;-36,375;-72,775;56,420;14,261;5,997;3
05-2000;-36,375;-72,725;55,510;14,287;5,400;3
05-2000;-36,375;-72,675;48,240;15,668;4,920;3
05-2000;-36,375;-72,625;47,500;16,037;4,936;3
05-2000;-36,375;-72,575;49,180;16,028;4,745;3
05-2000;-36,375;-72,525;46,140;16,333;4,617;3
05-2000;-36,375;-72,475;50,220;15,535;4,455;3
05-2000;-36,375;-72,425;64,060;15,250;4,181;3
05-2000;-36,375;-72,375;53,490;16,649;4,200;3
05-2000;-36,375;-72,325;52,470;16,575;4,344;3
05-2000;-36,375;-72,275;59,570;16,304;4,149;3
05-2000;-36,375;-72,225;61,180;16,396;4,136;3
05-2000;-36,375;-72,175;57,730;16,720;3,928;3
05-2000;-36,375;-72,125;55,510;16,782;3,946;3
05-2000;-36,375;-72,075;55,420;16,779;3,953;3
05-2000;-36,375;-72,025;55,700;16,862;4,028;3
05-2000;-36,375;-71,975;56,840;16,947;4,029;3
05-2000;-36,375;-71,925;58,990;16,860;3,927;3
05-2000;-36,375;-71,875;60,980;16,666;3,870;3
05-2000;-36,375;-71,825;64,400;16,454;3,922;3
05-2000;-36,375;-71,775;67,250;16,518;3,933;3
05-2000;-36,375;-71,725;73,550;15,828;4,129;3
05-2000;-36,375;-71,675;77,610;15,626;3,869;3
05-2000;-36,375;-71,625;80,440;15,352;3,592;3
05-2000;-36,375;-71,575;81,560;15,363;3,618;3
05-2000;-36,375;-71,525;81,340;15,052;3,556;3
05-2000;-36,375;-71,475;98,090;14,161;3,103;2
05-2000;-36,375;-71,425;115,380;12,780;2,308;2
05-2000;-36,375;-71,375;128,900;11,799;1,485;2
05-2000;-36,375;-71,325;114,560;12,051;1,378;2
05-2000;-36,375;-71,275;97,200;12,642;,981;2
05-2000;-36,375;-71,225;100,390;12,446;,741;2
05-2000;-36,375;-71,175;99,450;11,870;-,471;1
05-2000;-36,375;-71,125;107,870;10,127;-1,389;1
05-2000;-36,375;-71,075;107,470;9,801;-1,787;1
05-2000;-36,375;-71,025;109,480;9,554;-1,937;1
05-2000;-36,375;-70,975;98,520;9,283;-1,986;1
05-2000;-36,325;-72,925;47,010;15,455;8,439;4
05-2000;-36,325;-72,875;46,280;15,335;7,981;3
05-2000;-36,325;-72,825;51,090;15,105;7,159;3
05-2000;-36,325;-72,775;57,490;14,545;6,213;3
05-2000;-36,325;-72,725;62,460;14,207;5,616;3
05-2000;-36,325;-72,675;57,250;14,964;5,339;3
05-2000;-36,325;-72,625;52,790;15,740;5,093;3
05-2000;-36,325;-72,575;51,970;15,913;4,832;3
05-2000;-36,325;-72,525;49,390;15,631;4,712;3
05-2000;-36,325;-72,475;66,670;14,562;4,222;3
05-2000;-36,325;-72,425;58,690;16,079;4,177;3
05-2000;-36,325;-72,375;52,560;16,511;4,105;3
05-2000;-36,325;-72,325;55,510;16,432;4,147;3
05-2000;-36,325;-72,275;59,360;16,301;4,068;3
05-2000;-36,325;-72,225;59,330;16,386;4,079;3
05-2000;-36,325;-72,175;58,330;16,594;4,009;3
05-2000;-36,325;-72,125;55,880;16,884;3,912;3
05-2000;-36,325;-72,075;55,520;16,930;3,991;3
05-2000;-36,325;-72,025;55,220;16,983;4,006;3
05-2000;-36,325;-71,975;53,380;16,899;3,987;3
05-2000;-36,325;-71,925;57,210;16,877;4,009;3
05-2000;-36,325;-71,875;58,240;16,803;4,008;3
05-2000;-36,325;-71,825;61,190;16,798;4,060;3
05-2000;-36,325;-71,775;63,570;16,433;4,275;3
05-2000;-36,325;-71,725;67,810;16,054;4,104;3
05-2000;-36,325;-71,675;72,440;15,751;3,887;3
05-2000;-36,325;-71,625;74,000;15,535;3,905;3
05-2000;-36,325;-71,575;81,750;15,192;3,634;3
05-2000;-36,325;-71,525;79,990;15,075;3,561;3
05-2000;-36,325;-71,475;88,660;14,639;3,277;3
05-2000;-36,325;-71,425;110,340;13,193;2,689;2
05-2000;-36,325;-71,375;104,310;13,959;2,523;2
05-2000;-36,325;-71,325;106,240;13,220;1,985;2
05-2000;-36,325;-71,275;95,100;13,170;1,057;2
05-2000;-36,325;-71,225;110,380;11,344;-,384;1
05-2000;-36,325;-71,175;112,430;10,687;-,687;1
05-2000;-36,325;-71,125;119,980;8,945;-1,666;1
05-2000;-36,325;-71,075;108,390;9,459;-1,742;1
05-2000;-36,325;-71,025;104,100;10,472;-1,463;1
05-2000;-36,325;-70,975;90,530;10,775;-1,086;1
05-2000;-36,275;-72,925;48,060;-9999,0;-9999,0;0
05-2000;-36,275;-72,875;47,620;15,418;8,247;4
05-2000;-36,275;-72,825;47,830;15,426;7,440;3
05-2000;-36,275;-72,775;55,110;14,714;6,580;3
05-2000;-36,275;-72,725;64,220;14,318;5,719;3
05-2000;-36,275;-72,675;57,560;14,931;5,506;3
05-2000;-36,275;-72,625;55,410;15,592;5,034;3
05-2000;-36,275;-72,575;54,530;15,786;4,668;3
05-2000;-36,275;-72,525;55,420;15,432;4,450;3
05-2000;-36,275;-72,475;66,560;15,179;3,985;3
05-2000;-36,275;-72,425;57,370;16,174;3,872;3
05-2000;-36,275;-72,375;52,730;16,555;3,854;3
05-2000;-36,275;-72,325;54,650;16,623;3,808;3
05-2000;-36,275;-72,275;59,200;16,162;4,146;3
05-2000;-36,275;-72,225;65,690;15,985;3,870;3
05-2000;-36,275;-72,175;60,670;16,485;3,829;3
05-2000;-36,275;-72,125;57,000;16,864;3,975;3
05-2000;-36,275;-72,075;55,920;17,021;3,954;3
05-2000;-36,275;-72,025;52,760;16,970;3,993;3
05-2000;-36,275;-71,975;52,870;16,937;4,034;3
05-2000;-36,275;-71,925;52,960;16,766;4,065;3
05-2000;-36,275;-71,875;56,160;16,760;4,104;3
05-2000;-36,275;-71,825;58,370;16,881;4,146;3
05-2000;-36,275;-71,775;60,610;16,687;4,166;3
05-2000;-36,275;-71,725;63,600;16,147;4,195;3
05-2000;-36,275;-71,675;67,950;15,774;3,808;3
05-2000;-36,275;-71,625;70,920;15,545;3,602;3
05-2000;-36,275;-71,575;73,220;15,301;3,481;3
05-2000;-36,275;-71,525;73,680;15,419;3,494;3
05-2000;-36,275;-71,475;82,000;14,955;3,442;3
05-2000;-36,275;-71,425;98,710;13,921;2,761;2
05-2000;-36,275;-71,375;106,270;13,742;2,470;2
05-2000;-36,275;-71,325;92,130;14,502;2,399;2
05-2000;-36,275;-71,275;105,910;12,932;1,589;2
05-2000;-36,275;-71,225;111,720;11,762;-,081;2
05-2000;-36,275;-71,175;122,150;9,866;-1,151;1
05-2000;-36,275;-71,125;111,420;10,125;-1,201;1
05-2000;-36,275;-71,075;107,440;11,183;-,982;1
05-2000;-36,275;-71,025;100,470;11,427;-1,117;1
05-2000;-36,275;-70,975;86,950;12,525;-,497;2
05-2000;-36,225;-72,925;48,690;15,316;9,084;4
05-2000;-36,225;-72,875;50,740;15,293;8,333;4
05-2000;-36,225;-72,825;48,400;15,475;7,774;3
05-2000;-36,225;-72,775;58,050;14,664;6,883;3
05-2000;-36,225;-72,725;58,810;14,718;6,328;3
05-2000;-36,225;-72,675;59,760;14,748;5,781;3
05-2000;-36,225;-72,625;62,240;15,451;5,010;3
05-2000;-36,225;-72,575;55,030;16,047;4,742;3
05-2000;-36,225;-72,525;58,630;15,638;4,556;3
05-2000;-36,225;-72,475;59,290;15,601;4,318;3
05-2000;-36,225;-72,425;55,940;15,815;4,248;3
05-2000;-36,225;-72,375;55,170;16,065;3,964;3
05-2000;-36,225;-72,325;56,220;16,244;3,891;3
05-2000;-36,225;-72,275;57,540;16,432;3,768;3
05-2000;-36,225;-72,225;60,690;16,349;3,921;3
05-2000;-36,225;-72,175;60,510;16,436;3,774;3
05-2000;-36,225;-72,125;56,210;16,860;3,839;3
05-2000;-36,225;-72,075;55,170;17,017;3,962;3
05-2000;-36,225;-72,025;52,020;17,044;3,953;3
05-2000;-36,225;-71,975;51,890;16,944;4,023;3
05-2000;-36,225;-71,925;51,760;16,908;4,030;3
05-2000;-36,225;-71,875;54,800;16,845;3,997;3
05-2000;-36,225;-71,825;57,000;17,075;4,072;3
05-2000;-36,225;-71,775;59,310;17,096;4,034;3
05-2000;-36,225;-71,725;61,770;16,732;3,892;3
05-2000;-36,225;-71,675;65,440;16,047;3,894;3
05-2000;-36,225;-71,625;69,550;15,536;3,707;3
05-2000;-36,225;-71,575;71,240;15,584;3,617;3
05-2000;-36,225;-71,525;72,480;15,337;3,604;3
05-2000;-36,225;-71,475;78,120;15,158;3,563;3
05-2000;-36,225;-71,425;89,220;14,682;3,268;3
05-2000;-36,225;-71,375;97,330;14,032;3,040;2
05-2000;-36,225;-71,325;103,370;12,822;2,238;2
05-2000;-36,225;-71,275;113,750;11,502;1,635;2
05-2000;-36,225;-71,225;102,330;12,039;,676;2
05-2000;-36,225;-71,175;120,080;9,666;-,616;1
